idCliente,nombreCliente,telefono,emailCliente,fechaRegistro
1,Juan Pérez,77778888,juan.perez@gmail.com,2025-10-01
2,Ana López,77779999,ana.lopez@gmail.com,2025-10-01
3,Carlos Díaz,76667777,carlos.diaz@gmail.com,2025-10-02
4,María Gómez,75556666,maria.gomez@gmail.com,2025-10-03
5,Luis Torres,74445555,luis.torres@gmail.com,2025-10-01
6,Sofía Ramírez,73334444,sofia.ramirez@gmail.com,2025-10-01
7,Pedro Castillo,72223333,pedro.castillo@gmail.com,2025-10-01
8,Laura Méndez,71112222,laura.mendez@gmail.com,2025-10-01
9,Diego Herrera,70001111,diego.herrera@gmail.com,2025-10-01
10,Valentina Cruz,79998888,valentina.cruz@gmail.com,2025-10-02
11,Jorge Molina,78887777,jorge.molina@gmail.com,2025-10-02
12,Camila Rivas,77776666,camila.rivas@gmail.com,2025-10-02
13,Andrés Salazar,76665555,andres.salazar@gmail.com,2025-10-02
14,Isabella Pineda,75554444,isabella.pineda@gmail.com,2025-10-02
15,Ricardo Chávez,74443333,ricardo.chavez@gmail.com,2025-10-03
16,Daniela Flores,73332222,daniela.flores@gmail.com,2025-10-03
17,Manuel Ortiz,72221111,manuel.ortiz@gmail.com,2025-10-03
18,Fernanda Reyes,71110000,fernanda.reyes@gmail.com,2025-10-03
19,Alejandro Navarro,70009999,alejandro.navarro@gmail.com,2025-10-03
20,Lucía Campos,79997777,lucia.campos@gmail.com,2025-10-04
21,Sebastián Vega,78886666,sebastian.vega@gmail.com,2025-10-04
